Timestamp,Relative_Time,TYAGA_raw,Valve_KNOPKA_state
2025-01-16 21:03:28.328,19.663,-91562,1
2025-01-16 21:03:28.330,19.664,-91562,1
2025-01-16 21:03:28.330,19.664,-92489,1
2025-01-16 21:03:28.330,19.664,-92489,1
2025-01-16 21:03:28.437,19.771,-91844,1
2025-01-16 21:03:28.438,19.772,-91844,1
2025-01-16 21:03:28.438,19.772,-90657,1
2025-01-16 21:03:28.438,19.772,-90657,1
2025-01-16 21:03:28.546,19.88,-90563,1
2025-01-16 21:03:28.546,19.881,-90881,1
2025-01-16 21:03:28.654,19.988,-90250,1
2025-01-16 21:03:28.655,19.989,-91194,1
2025-01-16 21:03:28.762,20.097,-92279,1
2025-01-16 21:03:28.870,20.204,-92121,1
2025-01-16 21:03:28.871,20.205,-92069,1
2025-01-16 21:03:28.980,20.315,-92384,1
2025-01-16 21:03:28.980,20.315,-92110,1
2025-01-16 21:03:29.086,20.42,-90300,1
2025-01-16 21:03:29.086,20.421,-91229,1
2025-01-16 21:03:29.195,20.53,-90312,1
2025-01-16 21:03:29.302,20.637,-90549,1
2025-01-16 21:03:29.302,20.637,-90549,1
2025-01-16 21:03:29.303,20.638,-90497,1
2025-01-16 21:03:29.410,20.744,-90771,1
2025-01-16 21:03:29.410,20.744,-91821,1
2025-01-16 21:03:29.519,20.854,-92559,1
2025-01-16 21:03:29.628,20.963,-91703,1
2025-01-16 21:03:29.738,21.072,-90518,1
2025-01-16 21:03:29.846,21.18,-91920,1
2025-01-16 21:03:29.956,21.29,-90795,1
2025-01-16 21:03:30.065,21.4,-90417,1
2025-01-16 21:03:30.173,21.508,-90903,1
2025-01-16 21:03:30.282,21.616,-92545,1
2025-01-16 21:03:30.390,21.724,-92545,1
2025-01-16 21:03:30.391,21.725,-91269,1
2025-01-16 21:03:30.391,21.725,-91269,1
2025-01-16 21:03:30.499,21.834,-92192,1
2025-01-16 21:03:30.608,21.943,-91171,1
2025-01-16 21:03:30.717,22.051,-92379,1
2025-01-16 21:03:30.825,22.16,-92069,1
2025-01-16 21:03:30.933,22.268,-91085,1
2025-01-16 21:03:31.042,22.376,-90191,1
2025-01-16 21:03:31.151,22.486,-91507,1
2025-01-16 21:03:31.260,22.595,-90283,1
2025-01-16 21:03:31.368,22.703,-90681,1
2025-01-16 21:03:31.477,22.811,-92088,1
2025-01-16 21:03:31.477,22.811,-92088,1
2025-01-16 21:03:31.587,22.921,-92507,1
2025-01-16 21:03:31.696,23.03,-91904,1
2025-01-16 21:03:31.805,23.139,-92388,1
2025-01-16 21:03:31.912,23.247,-91810,1
2025-01-16 21:03:32.022,23.356,-90428,1
2025-01-16 21:03:32.130,23.465,-91857,1
2025-01-16 21:03:32.240,23.575,-90499,1
2025-01-16 21:03:32.348,23.683,-90391,1
2025-01-16 21:03:32.458,23.792,-90866,1
2025-01-16 21:03:32.565,23.899,-89992,1
2025-01-16 21:03:32.566,23.901,-89992,1
2025-01-16 21:03:32.673,24.008,-91080,1
2025-01-16 21:03:32.674,24.009,-91080,1
2025-01-16 21:03:32.784,24.119,-92407,1
2025-01-16 21:03:32.784,24.119,-92081,1
2025-01-16 21:03:32.891,24.226,-90869,1
2025-01-16 21:03:33.000,24.335,-92066,1
2025-01-16 21:03:33.218,24.553,-91048,1
2025-01-16 21:03:33.219,24.554,-90378,1
2025-01-16 21:03:33.327,24.661,-91233,1
2025-01-16 21:03:33.435,24.77,-91967,1
2025-01-16 21:03:33.544,24.879,-90932,1
2025-01-16 21:03:33.652,24.987,-91962,1
2025-01-16 21:03:33.760,25.095,-91962,1
2025-01-16 21:03:33.869,25.204,-90618,1
2025-01-16 21:03:33.869,25.204,-91869,1
2025-01-16 21:03:33.978,25.313,-92174,1
2025-01-16 21:03:34.086,25.421,-91632,1
2025-01-16 21:03:34.196,25.53,-90672,1
2025-01-16 21:03:34.305,25.64,-91626,1
2025-01-16 21:03:34.415,25.749,-90530,1
2025-01-16 21:03:34.523,25.857,-90444,1
2025-01-16 21:03:34.632,25.967,-91486,1
2025-01-16 21:03:34.741,26.076,-92228,1
2025-01-16 21:03:34.851,26.185,-92228,1
2025-01-16 21:03:34.852,26.186,-91509,1
2025-01-16 21:03:34.959,26.294,-91509,1
2025-01-16 21:03:34.960,26.295,-92316,1
2025-01-16 21:03:35.069,26.404,-91405,1
2025-01-16 21:03:35.179,26.513,-90680,1
2025-01-16 21:03:35.289,26.623,-92004,1
2025-01-16 21:03:35.397,26.731,-90895,1
2025-01-16 21:03:35.504,26.839,-90393,1
2025-01-16 21:03:35.614,26.949,-91130,1
2025-01-16 21:03:35.722,27.056,-90406,1
2025-01-16 21:03:35.830,27.165,-90956,1
2025-01-16 21:03:35.938,27.272,-92378,1
2025-01-16 21:03:35.938,27.272,-92378,1
2025-01-16 21:03:36.048,27.383,-92380,1
2025-01-16 21:03:36.157,27.492,-91222,1
2025-01-16 21:03:36.264,27.599,-92205,1
2025-01-16 21:03:36.374,27.708,-91154,1
2025-01-16 21:03:36.483,27.817,-90399,1
2025-01-16 21:03:36.591,27.926,-91609,1
2025-01-16 21:03:36.700,28.034,-91996,1
2025-01-16 21:03:36.809,28.144,-90673,1
2025-01-16 21:03:36.918,28.252,-91614,1
2025-01-16 21:03:37.026,28.361,-90665,1
2025-01-16 21:03:37.027,28.362,-90665,1
2025-01-16 21:03:37.134,28.469,-91771,1
2025-01-16 21:03:37.135,28.47,-91771,1
2025-01-16 21:03:37.243,28.578,-92491,1
2025-01-16 21:03:37.353,28.688,-91699,1
2025-01-16 21:03:37.461,28.796,-90694,1
2025-01-16 21:03:37.568,28.902,-91952,1
2025-01-16 21:03:37.671,29.005,-90605,1
2025-01-16 21:03:37.777,29.112,-90536,1
2025-01-16 21:03:37.880,29.214,-91371,1
2025-01-16 21:03:37.988,29.323,-92438,1
2025-01-16 21:03:38.099,29.433,-91202,1
2025-01-16 21:03:38.205,29.54,-92156,1
2025-01-16 21:03:38.206,29.541,-92156,1
2025-01-16 21:03:38.315,29.649,-90972,1
2025-01-16 21:03:38.423,29.758,-90895,1
2025-01-16 21:03:38.531,29.866,-92201,1
2025-01-16 21:03:38.642,29.977,-91048,1
2025-01-16 21:03:38.752,30.087,-90553,1
2025-01-16 21:03:38.861,30.196,-90750,1
2025-01-16 21:03:38.969,30.303,-90410,1
2025-01-16 21:03:39.078,30.412,-90761,1
2025-01-16 21:03:39.078,30.412,-91924,1
2025-01-16 21:03:39.187,30.522,-92254,1
2025-01-16 21:03:39.296,30.631,-92254,1
2025-01-16 21:03:39.404,30.739,-91344,1
2025-01-16 21:03:39.404,30.739,-91344,1
2025-01-16 21:03:39.512,30.847,-92391,1
2025-01-16 21:03:39.513,30.848,-91713,1
2025-01-16 21:03:39.732,31.066,-90506,1
2025-01-16 21:03:39.732,31.066,-91805,1
2025-01-16 21:03:39.840,31.175,-91645,1
2025-01-16 21:03:39.949,31.284,-90538,1
2025-01-16 21:03:40.057,31.391,-91605,1
2025-01-16 21:03:40.166,31.501,-90377,1
2025-01-16 21:03:40.277,31.612,-91470,1
2025-01-16 21:03:40.385,31.72,-92315,1
2025-01-16 21:03:40.495,31.829,-92315,1
2025-01-16 21:03:40.496,31.83,-91921,1
2025-01-16 21:03:40.603,31.938,-90752,1
2025-01-16 21:03:40.712,32.047,-92139,1
2025-01-16 21:03:40.818,32.153,-90910,1
