Timestamp;Relative_Time;PT-F03_raw (mV);PT-F03_processed (atm);HPL4_raw
2025-05-20 08:09:39.443;10.244;0.8690001;-0.44;-18539
2025-05-20 08:09:39.444;10.245;0.8690001;-0.44;-18530
2025-05-20 08:09:39.444;10.245;0.8690001;-0.44;-18530
2025-05-20 08:09:39.550;10.352;0.8690001;-0.44;-18530
2025-05-20 08:09:39.550;10.352;0.8690001;-0.44;-18530
2025-05-20 08:09:39.550;10.352;0.8690001;-0.44;-18530
2025-05-20 08:09:39.660;10.462;0.8690001;-0.44;-18530
2025-05-20 08:09:39.660;10.462;0.8690001;-0.44;-18530
2025-05-20 08:09:39.771;10.573;0.8690001;-0.44;-18530
2025-05-20 08:09:39.771;10.573;0.8690001;-0.44;-18513
2025-05-20 08:09:39.772;10.574;0.8690001;-0.44;-18513
2025-05-20 08:09:39.772;10.574;0.8690001;-0.44;-18513
2025-05-20 08:09:39.880;10.682;0.8690001;-0.44;-18513
2025-05-20 08:09:39.880;10.682;0.8690001;-0.44;-18529
2025-05-20 08:09:39.880;10.682;0.8690001;-0.44;-18529
2025-05-20 08:09:39.989;10.791;0.8690001;-0.44;-18529
2025-05-20 08:09:39.990;10.792;0.8690001;-0.44;-18529
2025-05-20 08:09:39.991;10.793;0.8690001;-0.44;-18529
2025-05-20 08:09:39.992;10.794;0.8690001;-0.44;-18529
2025-05-20 08:09:40.097;10.899;0.8690001;-0.44;-18529
2025-05-20 08:09:40.098;10.9;0.8690001;-0.44;-18529
2025-05-20 08:09:40.098;10.9;0.8690001;-0.44;-18529
2025-05-20 08:09:40.205;11.007;0.8690001;-0.44;-18529
2025-05-20 08:09:40.206;11.008;0.8690001;-0.44;-18588
2025-05-20 08:09:40.313;11.115;0.8690001;-0.44;-18588
2025-05-20 08:09:40.314;11.116;0.8690001;-0.44;-18588
2025-05-20 08:09:40.314;11.116;0.8690001;-0.44;-18588
2025-05-20 08:09:40.314;11.116;0.8690001;-0.44;-18588
2025-05-20 08:09:40.421;11.223;0.869375;-0.43;-18588
2025-05-20 08:09:40.422;11.224;0.869375;-0.43;-18588
2025-05-20 08:09:40.422;11.224;0.869375;-0.43;-18588
2025-05-20 08:09:40.423;11.225;0.869375;-0.43;-18606
2025-05-20 08:09:40.531;11.333;0.869375;-0.43;-18606
2025-05-20 08:09:40.531;11.333;0.869375;-0.43;-18606
2025-05-20 08:09:40.531;11.333;0.869375;-0.43;-18606
2025-05-20 08:09:40.640;11.441;0.869375;-0.43;-18606
2025-05-20 08:09:40.641;11.442;0.869375;-0.43;-18606
2025-05-20 08:09:40.747;11.549;0.869375;-0.43;-18606
2025-05-20 08:09:40.748;11.55;0.869375;-0.43;-18606
2025-05-20 08:09:40.748;11.55;0.86875;-0.44;-18606
2025-05-20 08:09:40.749;11.551;0.86875;-0.44;-18605
2025-05-20 08:09:40.856;11.658;0.86875;-0.44;-18605
2025-05-20 08:09:40.857;11.659;0.86875;-0.44;-18605
2025-05-20 08:09:40.857;11.659;0.86875;-0.44;-18605
2025-05-20 08:09:40.859;11.661;0.86875;-0.44;-18605
2025-05-20 08:09:40.965;11.767;0.86875;-0.44;-18605
2025-05-20 08:09:40.966;11.767;0.86875;-0.44;-18605
2025-05-20 08:09:41.075;11.877;0.86875;-0.44;-18605
2025-05-20 08:09:41.075;11.877;0.86875;-0.44;-18605
2025-05-20 08:09:41.076;11.878;0.86875;-0.44;-18605
2025-05-20 08:09:41.183;11.985;0.86875;-0.44;-18711
2025-05-20 08:09:41.183;11.985;0.86875;-0.44;-18711
2025-05-20 08:09:41.184;11.986;0.86875;-0.44;-18711
2025-05-20 08:09:41.291;12.093;0.86875;-0.44;-18711
2025-05-20 08:09:41.291;12.093;0.86875;-0.44;-18711
2025-05-20 08:09:41.292;12.094;0.86875;-0.44;-18711
2025-05-20 08:09:41.401;12.203;0.86875;-0.44;-18711
2025-05-20 08:09:41.402;12.204;0.86875;-0.44;-18711
2025-05-20 08:09:41.402;12.204;0.86875;-0.44;-18711
2025-05-20 08:09:41.402;12.204;0.86875;-0.44;-18711
2025-05-20 08:09:41.510;12.312;0.86825;-0.45;-18711
2025-05-20 08:09:41.510;12.312;0.86825;-0.45;-18711
2025-05-20 08:09:41.618;12.42;0.86825;-0.45;-18758
