Timestamp,Relative_Time,frequency,flow_rate
2025-01-08 18:08:33.731,78.024,795.5449,1.077778
2025-01-08 18:08:33.840,78.133,795.5449,1.077778
2025-01-08 18:08:33.945,78.238,795.5449,1.077778
2025-01-08 18:08:33.946,78.239,795.5449,1.077778
2025-01-08 18:08:34.058,78.352,795.5449,1.077778
2025-01-08 18:08:34.060,78.353,795.5449,1.077778
2025-01-08 18:08:34.166,78.459,795.5449,1.077778
2025-01-08 18:08:34.166,78.459,783.4534,1.077778
2025-01-08 18:08:34.276,78.569,783.4534,1.077778
2025-01-08 18:08:34.276,78.569,783.4534,1.077778
2025-01-08 18:08:34.383,78.676,783.4534,1.077778
2025-01-08 18:08:34.492,78.785,783.4534,1.077778
2025-01-08 18:08:34.492,78.786,783.4534,1.077778
2025-01-08 18:08:34.600,78.894,783.4534,1.077778
2025-01-08 18:08:34.601,78.894,783.4534,1.077778
2025-01-08 18:08:34.707,79,783.4534,1.077778
2025-01-08 18:08:34.707,79,783.4534,1.077778
2025-01-08 18:08:34.816,79.11,783.4534,1.077778
2025-01-08 18:08:34.924,79.217,783.4534,1.077778
2025-01-08 18:08:34.924,79.217,783.4534,1.077778
2025-01-08 18:08:35.033,79.326,783.4534,1.077778
2025-01-08 18:08:35.034,79.327,783.4534,1.077778
2025-01-08 18:08:35.142,79.436,783.4534,1.077778
2025-01-08 18:08:35.143,79.436,783.4534,1.077778
2025-01-08 18:08:35.252,79.545,768.2262,1.077778
2025-01-08 18:08:35.360,79.653,768.2262,1.077778
2025-01-08 18:08:35.360,79.653,768.2262,1.077778
2025-01-08 18:08:35.469,79.763,768.2262,1.077778
2025-01-08 18:08:35.471,79.764,768.2262,1.077778
2025-01-08 18:08:35.578,79.871,768.2262,1.077778
2025-01-08 18:08:35.579,79.872,768.2262,1.077778
2025-01-08 18:08:35.687,79.98,768.2262,1.077778
2025-01-08 18:08:35.796,80.089,768.2262,1.077778
2025-01-08 18:08:35.796,80.089,768.2262,1.077778
2025-01-08 18:08:35.905,80.198,768.2262,1.077778
2025-01-08 18:08:35.905,80.199,768.2262,1.077778
2025-01-08 18:08:36.013,80.307,768.2262,1.077778
2025-01-08 18:08:36.013,80.307,768.2262,1.077778
2025-01-08 18:08:36.124,80.417,768.2262,1.077778
2025-01-08 18:08:36.232,80.525,768.2262,1.077778
2025-01-08 18:08:36.232,80.525,768.2262,1.077778
2025-01-08 18:08:36.342,80.635,768.2262,1.077778
2025-01-08 18:08:36.343,80.636,768.2262,1.077778
2025-01-08 18:08:36.450,80.743,768.2262,1.077778
2025-01-08 18:08:36.450,80.743,768.2262,1.077778
2025-01-08 18:08:36.558,80.851,768.2262,1.077778
2025-01-08 18:08:36.666,80.959,768.2262,1.077778
2025-01-08 18:08:36.666,80.959,768.2262,1.077778
2025-01-08 18:08:36.774,81.067,768.2262,1.077778
2025-01-08 18:08:36.774,81.067,768.2262,1.077778
2025-01-08 18:08:36.882,81.175,768.2262,1.077778
2025-01-08 18:08:36.883,81.176,768.2262,1.077778
2025-01-08 18:08:36.990,81.284,768.2262,1.077778
2025-01-08 18:08:37.100,81.393,768.2262,1.077778
2025-01-08 18:08:37.101,81.394,768.2262,1.077778
2025-01-08 18:08:37.209,81.502,768.2262,1.077778
2025-01-08 18:08:37.209,81.502,768.2262,1.077778
2025-01-08 18:08:37.318,81.611,768.2262,1.106667
2025-01-08 18:08:37.426,81.719,768.2262,1.106667
2025-01-08 18:08:37.427,81.72,768.2262,1.106667
2025-01-08 18:08:37.535,81.828,768.2262,1.106667
2025-01-08 18:08:37.535,81.828,768.2262,1.106667
2025-01-08 18:08:37.645,81.938,768.2262,1.106667
2025-01-08 18:08:37.645,81.938,768.2262,1.106667
2025-01-08 18:08:37.753,82.046,768.2262,1.106667
2025-01-08 18:08:37.753,82.046,768.2262,1.106667
2025-01-08 18:08:37.861,82.154,768.2262,1.106667
2025-01-08 18:08:37.972,82.266,768.2262,1.106667
2025-01-08 18:08:37.973,82.267,768.2262,1.106667
2025-01-08 18:08:38.080,82.373,768.2262,1.106667
