Timestamp,Relative_Time,TYAGA_raw (kg),TYAGA_processed (kg),FT_F01_raw (rpm)
2025-02-11 14:13:00.533,111.564,65447,1398.57,440.1408
2025-02-11 14:13:00.533,111.564,65395,1398.1,440.1408
2025-02-11 14:13:00.534,111.565,65395,1398.1,440.1408
2025-02-11 14:13:00.640,111.672,65646,1400.34,440.1408
2025-02-11 14:13:00.859,111.891,65646,1400.34,440.1408
2025-02-11 14:13:00.859,111.891,65684,1400.68,440.1408
2025-02-11 14:13:00.862,111.893,65684,1400.68,440.1408
2025-02-11 14:13:01.076,112.108,65606,1399.98,440.1408
2025-02-11 14:13:01.077,112.109,65606,1399.98,440.1408
2025-02-11 14:13:01.077,112.109,65606,1399.98,440.1408
2025-02-11 14:13:01.078,112.11,65642,1400.3,440.1408
2025-02-11 14:13:01.185,112.216,65642,1400.3,440.1408
2025-02-11 14:13:01.186,112.217,65642,1400.3,841.5383
2025-02-11 14:13:01.186,112.217,65453,1398.62,841.5383
2025-02-11 14:13:01.187,112.218,65453,1398.62,841.5383
2025-02-11 14:13:01.295,112.326,65754,1401.3,841.5383
2025-02-11 14:13:01.296,112.327,65754,1401.3,841.5383
2025-02-11 14:13:01.405,112.436,65653,1400.4,841.5383
2025-02-11 14:13:01.407,112.438,65653,1400.4,841.5383
2025-02-11 14:13:01.408,112.439,65653,1400.4,841.5383
2025-02-11 14:13:01.511,112.542,65653,1400.4,841.5383
2025-02-11 14:13:01.511,112.542,65587,1399.81,841.5383
2025-02-11 14:13:01.512,112.543,65587,1399.81,857.9272
2025-02-11 14:13:01.620,112.651,65742,1401.19,857.9272
2025-02-11 14:13:01.620,112.651,65742,1401.19,857.9272
2025-02-11 14:13:01.729,112.76,65742,1401.19,857.9272
2025-02-11 14:13:01.730,112.761,65796,1401.67,857.9272
2025-02-11 14:13:01.837,112.868,65796,1401.67,857.9272
2025-02-11 14:13:01.837,112.868,65796,1401.67,857.9272
2025-02-11 14:13:01.947,112.978,65796,1401.67,809.5855
2025-02-11 14:13:01.947,112.979,65796,1401.67,809.5855
2025-02-11 14:13:01.947,112.979,65618,1400.09,809.5855
2025-02-11 14:13:01.947,112.979,65618,1400.09,809.5855
2025-02-11 14:13:01.948,112.98,65344,1397.65,809.5855
2025-02-11 14:13:02.055,113.087,65344,1397.65,809.5855
2025-02-11 14:13:02.055,113.087,65467,1398.74,809.5855
2025-02-11 14:13:02.055,113.087,65524,1399.25,809.5855
2025-02-11 14:13:02.055,113.087,65524,1399.25,809.5855
2025-02-11 14:13:02.162,113.193,65356,1397.76,809.5855
2025-02-11 14:13:02.270,113.302,65356,1397.76,809.5855
2025-02-11 14:13:02.270,113.302,65356,1397.76,809.5855
2025-02-11 14:13:02.486,113.517,65356,1397.76,809.5855
2025-02-11 14:13:02.487,113.519,65385,1398.01,809.5855
2025-02-11 14:13:02.487,113.519,65385,1398.01,827.8146
2025-02-11 14:13:02.488,113.52,65269,1396.98,827.8146
2025-02-11 14:13:02.488,113.52,65269,1396.98,827.8146
2025-02-11 14:13:02.594,113.626,65269,1396.98,827.8146
2025-02-11 14:13:02.594,113.626,65520,1399.22,827.8146
2025-02-11 14:13:02.814,113.845,65565,1399.62,827.8146
2025-02-11 14:13:02.815,113.846,65565,1399.62,827.8146
2025-02-11 14:13:02.815,113.846,65565,1399.62,827.8146
2025-02-11 14:13:02.817,113.848,65433,1398.44,827.8146
2025-02-11 14:13:02.823,113.854,65433,1398.44,827.8146
2025-02-11 14:13:02.923,113.954,65433,1398.44,827.8146
2025-02-11 14:13:02.924,113.955,65433,1398.44,773.874
2025-02-11 14:13:02.924,113.955,65433,1398.44,773.874
2025-02-11 14:13:03.032,114.063,65433,1398.44,773.874
2025-02-11 14:13:03.033,114.064,65838,1402.05,773.874
2025-02-11 14:13:03.142,114.174,65461,1398.69,773.874
2025-02-11 14:13:03.143,114.175,65461,1398.69,773.874
2025-02-11 14:13:03.143,114.175,65461,1398.69,773.874
2025-02-11 14:13:03.252,114.283,65461,1398.69,799.1688
2025-02-11 14:13:03.252,114.283,65610,1400.02,799.1688
2025-02-11 14:13:03.253,114.284,65610,1400.02,799.1688
2025-02-11 14:13:03.253,114.284,65438,1398.49,799.1688
2025-02-11 14:13:03.362,114.394,65625,1400.15,799.1688
2025-02-11 14:13:03.363,114.395,65625,1400.15,799.1688
2025-02-11 14:13:03.471,114.503,65668,1400.53,799.1688
2025-02-11 14:13:03.690,114.721,65668,1400.53,799.1688
2025-02-11 14:13:03.690,114.721,65668,1400.53,799.1688
2025-02-11 14:13:03.690,114.721,65519,1399.21,799.1688
2025-02-11 14:13:03.691,114.722,65519,1399.21,799.1688
2025-02-11 14:13:03.691,114.722,65521,1399.22,799.1688
