Timestamp,Relative_Time,TYAGA_raw (kg),TYAGA_processed (kg),FT_F01_raw (rpm)
2025-02-11 15:25:49.080,36.966,81025,1537.19,800.064
2025-02-11 15:25:49.080,36.966,81269,1539.36,800.064
2025-02-11 15:25:49.191,37.077,81269,1539.36,800.064
2025-02-11 15:25:49.193,37.079,81065,1537.55,800.064
2025-02-11 15:25:49.300,37.186,81377,1540.33,800.064
2025-02-11 15:25:49.300,37.186,81377,1540.33,800.064
2025-02-11 15:25:49.300,37.186,81377,1540.33,800.064
2025-02-11 15:25:49.409,37.294,52190,1280.59,800.064
2025-02-11 15:25:49.409,37.294,52190,1280.59,800.064
2025-02-11 15:25:49.410,37.295,52190,1280.59,829.8067
2025-02-11 15:25:49.410,37.295,77781,1508.32,829.8067
2025-02-11 15:25:49.520,37.405,77781,1508.32,829.8067
2025-02-11 15:25:49.520,37.405,79729,1525.66,829.8067
2025-02-11 15:25:49.629,37.515,79729,1525.66,829.8067
2025-02-11 15:25:49.629,37.515,127636,1951.98,829.8067
2025-02-11 15:25:49.737,37.623,127636,1951.98,829.8067
2025-02-11 15:25:49.737,37.623,127636,1951.98,829.8067
2025-02-11 15:25:49.737,37.623,139134,2054.3,829.8067
2025-02-11 15:25:49.844,37.73,139134,2054.3,846.3817
2025-02-11 15:25:49.845,37.731,139134,2054.3,846.3817
2025-02-11 15:25:49.953,37.839,139134,2054.3,846.3817
2025-02-11 15:25:49.954,37.84,175226,2375.47,846.3817
2025-02-11 15:25:50.061,37.947,175226,2375.47,846.3817
2025-02-11 15:25:50.061,37.947,180413,2421.63,846.3817
2025-02-11 15:25:50.168,38.054,180413,2421.63,846.3817
2025-02-11 15:25:50.169,38.055,180413,2421.63,846.3817
2025-02-11 15:25:50.169,38.055,218958,2764.64,846.3817
2025-02-11 15:25:50.276,38.162,218958,2764.64,846.3817
2025-02-11 15:25:50.276,38.162,218958,2764.64,797.7662
2025-02-11 15:25:50.276,38.162,218958,2764.64,797.7662
2025-02-11 15:25:50.277,38.163,251604,3055.15,797.7662
2025-02-11 15:25:50.384,38.27,251604,3055.15,797.7662
2025-02-11 15:25:50.385,38.271,263038,3156.9,797.7662
2025-02-11 15:25:50.493,38.379,285513,3356.9,797.7662
2025-02-11 15:25:50.602,38.488,285513,3356.9,797.7662
2025-02-11 15:25:50.603,38.489,285513,3356.9,797.7662
2025-02-11 15:25:50.603,38.489,285513,3356.9,797.7662
2025-02-11 15:25:50.604,38.49,286140,3362.48,797.7662
2025-02-11 15:25:50.712,38.598,286140,3362.48,796.3051
2025-02-11 15:25:50.713,38.599,307942,3556.49,796.3051
2025-02-11 15:25:50.713,38.599,307942,3556.49,796.3051
2025-02-11 15:25:50.820,38.706,335727,3803.75,796.3051
2025-02-11 15:25:50.930,38.816,335727,3803.75,796.3051
2025-02-11 15:25:51.038,38.924,335727,3803.75,796.3051
2025-02-11 15:25:51.038,38.924,335727,3803.75,796.3051
2025-02-11 15:25:51.040,38.926,345673,3892.26,796.3051
2025-02-11 15:25:51.146,39.031,345673,3892.26,845.0228
2025-02-11 15:25:51.146,39.031,345673,3892.26,845.0228
2025-02-11 15:25:51.147,39.032,383385,4227.85,845.0228
2025-02-11 15:25:51.148,39.033,383385,4227.85,845.0228
2025-02-11 15:25:51.256,39.142,402268,4395.89,845.0228
2025-02-11 15:25:51.364,39.25,402268,4395.89,845.0228
2025-02-11 15:25:51.364,39.25,447614,4799.42,845.0228
2025-02-11 15:25:51.471,39.357,447614,4799.42,845.0228
2025-02-11 15:25:51.472,39.358,437755,4711.68,845.0228
2025-02-11 15:25:51.581,39.466,437755,4711.68,845.0228
2025-02-11 15:25:51.581,39.466,437755,4711.68,829.8067
2025-02-11 15:25:51.582,39.467,453428,4851.15,829.8067
2025-02-11 15:25:51.689,39.574,453428,4851.15,829.8067
2025-02-11 15:25:51.690,39.575,454530,4860.96,829.8067
2025-02-11 15:25:51.690,39.575,454530,4860.96,829.8067
2025-02-11 15:25:51.797,39.683,452955,4846.94,829.8067
2025-02-11 15:25:51.798,39.684,452955,4846.94,829.8067
2025-02-11 15:25:51.798,39.684,452955,4846.94,829.8067
2025-02-11 15:25:51.905,39.791,452955,4846.94,829.8067
2025-02-11 15:25:51.905,39.791,-8260828,-72695.75,829.8067
2025-02-11 15:25:51.905,39.791,-8260828,-72695.75,820.0754
2025-02-11 15:25:51.906,39.792,-8260828,-72695.75,820.0754
2025-02-11 15:25:52.124,40.01,539396,5616.17,820.0754
2025-02-11 15:25:52.125,40.011,539396,5616.17,820.0754
2025-02-11 15:25:52.233,40.119,538257,5606.03,820.0754
2025-02-11 15:25:52.234,40.12,538257,5606.03,820.0754
2025-02-11 15:25:52.234,40.12,538257,5606.03,820.0754
2025-02-11 15:25:52.340,40.226,538257,5606.03,820.0754
2025-02-11 15:25:52.341,40.227,557400,5776.38,820.0754
2025-02-11 15:25:52.341,40.227,557400,5776.38,807.7545
2025-02-11 15:25:52.341,40.227,592671,6090.26,807.7545
2025-02-11 15:25:52.341,40.227,592671,6090.26,807.7545
2025-02-11 15:25:52.451,40.337,604160,6192.5,807.7545
2025-02-11 15:25:52.560,40.446,604160,6192.5,807.7545
2025-02-11 15:25:52.668,40.554,604160,6192.5,807.7545
2025-02-11 15:25:52.669,40.555,629433,6417.4,807.7545
2025-02-11 15:25:52.669,40.555,629433,6417.4,807.7545
2025-02-11 15:25:52.776,40.662,654984,6644.77,807.7545
2025-02-11 15:25:52.777,40.663,654984,6644.77,807.7545
2025-02-11 15:25:52.778,40.664,654984,6644.77,835.5615
2025-02-11 15:25:52.778,40.664,665967,6742.51,835.5615
2025-02-11 15:25:52.884,40.77,665967,6742.51,835.5615
2025-02-11 15:25:52.884,40.77,665967,6742.51,835.5615
2025-02-11 15:25:52.886,40.772,703035,7072.37,835.5615
2025-02-11 15:25:53.100,40.986,703035,7072.37,835.5615
2025-02-11 15:25:53.101,40.987,703035,7072.37,835.5615
2025-02-11 15:25:53.209,41.095,703035,7072.37,835.5615
2025-02-11 15:25:53.210,41.096,681678,6882.32,835.5615
2025-02-11 15:25:53.210,41.096,681678,6882.32,811.6224
2025-02-11 15:25:53.211,41.097,732490,7334.49,811.6224
2025-02-11 15:25:53.211,41.097,732490,7334.49,811.6224
2025-02-11 15:25:53.318,41.204,730679,7318.37,811.6224
2025-02-11 15:25:53.427,41.313,730679,7318.37,811.6224
2025-02-11 15:25:53.536,41.422,770290,7670.86,811.6224
2025-02-11 15:25:53.536,41.422,770290,7670.86,811.6224
2025-02-11 15:25:53.537,41.423,770290,7670.86,811.6224
2025-02-11 15:25:53.645,41.531,796820,7906.95,811.6224
2025-02-11 15:25:53.645,41.531,796820,7906.95,811.6224
2025-02-11 15:25:53.645,41.531,796820,7906.95,794.8494
2025-02-11 15:25:53.645,41.531,799798,7933.45,794.8494
2025-02-11 15:25:53.645,41.531,799798,7933.45,794.8494
2025-02-11 15:25:53.753,41.639,821454,8126.16,794.8494
2025-02-11 15:25:53.864,41.749,821454,8126.16,794.8494
2025-02-11 15:25:53.865,41.751,833941,8237.28,794.8494
2025-02-11 15:25:53.972,41.858,833941,8237.28,794.8494
2025-02-11 15:25:53.972,41.858,833941,8237.28,794.8494
2025-02-11 15:25:53.974,41.86,845750,8342.37,794.8494
2025-02-11 15:25:54.081,41.967,845750,8342.37,815.5942
2025-02-11 15:25:54.189,42.075,879340,8641.28,815.5942
2025-02-11 15:25:54.190,42.076,879340,8641.28,815.5942
2025-02-11 15:25:54.191,42.077,879340,8641.28,815.5942
2025-02-11 15:25:54.298,42.184,890822,8743.46,815.5942
2025-02-11 15:25:54.299,42.185,890822,8743.46,815.5942
2025-02-11 15:25:54.407,42.292,890822,8743.46,815.5942
2025-02-11 15:25:54.409,42.294,932454,9113.94,815.5942
2025-02-11 15:25:54.409,42.294,932454,9113.94,829.4625
2025-02-11 15:25:54.410,42.295,932454,9113.94,829.4625
2025-02-11 15:25:54.516,42.402,932454,9113.94,829.4625
2025-02-11 15:25:54.517,42.403,941791,9197.02,829.4625
2025-02-11 15:25:54.627,42.512,964274,9397.1,829.4625
2025-02-11 15:25:54.627,42.513,964274,9397.1,829.4625
2025-02-11 15:25:54.628,42.514,974532,9488.38,829.4625
2025-02-11 15:25:54.628,42.514,974532,9488.38,829.4625
2025-02-11 15:25:54.734,42.619,974532,9488.38,829.4625
2025-02-11 15:25:54.734,42.62,989948,9625.57,829.4625
2025-02-11 15:25:54.842,42.728,982328,9557.76,829.4625
2025-02-11 15:25:54.843,42.729,982328,9557.76,829.4625
2025-02-11 15:25:54.844,42.73,982328,9557.76,829.4625
2025-02-11 15:25:54.950,42.836,1002435,9736.69,829.4625
2025-02-11 15:25:54.951,42.837,1002435,9736.69,829.4625
2025-02-11 15:25:55.059,42.945,1050779,10166.89,829.4625
2025-02-11 15:25:55.060,42.946,1050779,10166.89,829.4625
2025-02-11 15:25:55.168,43.054,1050779,10166.89,829.4625
2025-02-11 15:25:55.168,43.054,1050779,10166.89,38.43936
2025-02-11 15:25:55.278,43.164,1083139,10454.86,38.43936
2025-02-11 15:25:55.278,43.164,1083139,10454.86,38.43936
2025-02-11 15:25:55.386,43.272,1073272,10367.06,38.43936
2025-02-11 15:25:55.387,43.273,1073272,10367.06,38.43936
2025-02-11 15:25:55.494,43.38,1161262,11150.07,38.43936
2025-02-11 15:25:55.494,43.38,1161262,11150.07,38.43936
2025-02-11 15:25:55.603,43.489,1118250,10767.31,38.43936
2025-02-11 15:25:55.603,43.489,1118250,10767.31,38.43936
2025-02-11 15:25:55.603,43.489,1118250,10767.31,38.43936
2025-02-11 15:25:55.711,43.597,1149193,11042.67,38.43936
2025-02-11 15:25:55.712,43.598,1149193,11042.67,38.43936
2025-02-11 15:25:55.712,43.598,1161818,11155.01,38.43936
2025-02-11 15:25:55.822,43.707,1161818,11155.01,38.43936
2025-02-11 15:25:55.823,43.709,1181569,11330.77,38.43936
2025-02-11 15:25:56.037,43.923,1179827,11315.27,38.43936
