Timestamp,Relative_Time,TYAGA_raw (kg),TYAGA_processed (kg),FT_F01_raw (rpm)
2025-02-11 13:07:32.590,147.853,69813,1437.42,664.4077
2025-02-11 13:07:32.696,147.959,69813,1437.42,664.4077
2025-02-11 13:07:32.698,147.96,69318,1433.01,664.4077
2025-02-11 13:07:32.805,148.068,69514,1434.76,664.4077
2025-02-11 13:07:32.806,148.069,69514,1434.76,664.4077
2025-02-11 13:07:32.915,148.177,69417,1433.89,664.4077
2025-02-11 13:07:32.916,148.178,69417,1433.89,664.4077
2025-02-11 13:07:32.917,148.179,69417,1433.89,664.4077
2025-02-11 13:07:33.024,148.286,69654,1436,664.4077
2025-02-11 13:07:33.025,148.287,69654,1436,664.4077
2025-02-11 13:07:33.025,148.287,69654,1436,632.511
2025-02-11 13:07:33.130,148.393,69654,1436,632.511
2025-02-11 13:07:33.130,148.393,69406,1433.8,632.511
2025-02-11 13:07:33.241,148.503,69406,1433.8,632.511
2025-02-11 13:07:33.242,148.504,69551,1435.09,632.511
2025-02-11 13:07:33.349,148.611,69551,1435.09,632.511
2025-02-11 13:07:33.349,148.611,69551,1435.09,632.511
2025-02-11 13:07:33.350,148.612,69570,1435.26,632.511
2025-02-11 13:07:33.455,148.718,69570,1435.26,632.511
2025-02-11 13:07:33.455,148.718,69570,1435.26,631.3928
2025-02-11 13:07:33.456,148.719,69561,1435.18,631.3928
2025-02-11 13:07:33.456,148.719,69561,1435.18,631.3928
2025-02-11 13:07:33.565,148.827,69561,1435.18,631.3928
2025-02-11 13:07:33.565,148.827,69559,1435.16,631.3928
2025-02-11 13:07:33.674,148.937,69607,1435.59,631.3928
2025-02-11 13:07:33.674,148.937,69607,1435.59,631.3928
2025-02-11 13:07:33.783,149.045,69276,1432.64,631.3928
2025-02-11 13:07:33.783,149.045,69276,1432.64,631.3928
2025-02-11 13:07:33.783,149.045,69276,1432.64,631.3928
2025-02-11 13:07:33.892,149.155,69590,1435.43,631.3928
2025-02-11 13:07:33.893,149.156,69590,1435.43,631.3928
2025-02-11 13:07:33.893,149.156,69590,1435.43,625.5082
2025-02-11 13:07:34.001,149.263,69590,1435.43,625.5082
2025-02-11 13:07:34.001,149.263,69440,1434.1,625.5082
2025-02-11 13:07:34.108,149.37,69493,1434.57,625.5082
2025-02-11 13:07:34.108,149.37,69493,1434.57,625.5082
2025-02-11 13:07:34.216,149.478,69493,1434.57,625.5082
2025-02-11 13:07:34.216,149.478,69493,1434.57,625.5082
2025-02-11 13:07:34.325,149.587,69407,1433.81,625.5082
2025-02-11 13:07:34.326,149.588,69407,1433.81,625.5082
2025-02-11 13:07:34.326,149.588,69407,1433.81,589.5879
2025-02-11 13:07:34.327,149.589,69505,1434.68,589.5879
2025-02-11 13:07:34.432,149.695,69373,1433.5,589.5879
2025-02-11 13:07:34.541,149.803,69373,1433.5,589.5879
2025-02-11 13:07:34.650,149.913,69476,1434.42,589.5879
2025-02-11 13:07:34.651,149.914,69476,1434.42,589.5879
2025-02-11 13:07:34.651,149.914,69476,1434.42,589.5879
2025-02-11 13:07:34.759,150.021,69218,1432.12,589.5879
2025-02-11 13:07:34.759,150.021,69218,1432.12,589.5879
2025-02-11 13:07:34.760,150.023,69218,1432.12,581.4968
2025-02-11 13:07:34.761,150.024,69389,1433.65,581.4968
2025-02-11 13:07:34.762,150.025,69389,1433.65,581.4968
2025-02-11 13:07:34.867,150.13,69274,1432.62,581.4968
2025-02-11 13:07:34.868,150.131,69274,1432.62,581.4968
2025-02-11 13:07:34.976,150.239,69484,1434.49,581.4968
2025-02-11 13:07:35.086,150.348,69484,1434.49,581.4968
2025-02-11 13:07:35.086,150.348,69484,1434.49,581.4968
2025-02-11 13:07:35.087,150.349,69234,1432.27,581.4968
2025-02-11 13:07:35.195,150.458,69234,1432.27,582.3773
2025-02-11 13:07:35.195,150.458,69234,1432.27,582.3773
2025-02-11 13:07:35.196,150.459,69234,1432.27,582.3773
2025-02-11 13:07:35.302,150.565,69237,1432.29,582.3773
2025-02-11 13:07:35.303,150.566,69237,1432.29,582.3773
2025-02-11 13:07:35.410,150.672,69556,1435.13,582.3773
2025-02-11 13:07:35.411,150.673,69556,1435.13,582.3773
2025-02-11 13:07:35.519,150.782,69556,1435.13,582.3773
2025-02-11 13:07:35.519,150.782,69556,1435.13,582.3773
2025-02-11 13:07:35.520,150.783,69494,1434.58,582.3773
2025-02-11 13:07:35.628,150.89,69494,1434.58,575.6721
2025-02-11 13:07:35.629,150.892,69540,1434.99,575.6721
2025-02-11 13:07:35.629,150.892,69540,1434.99,575.6721
2025-02-11 13:07:35.737,150.999,69485,1434.5,575.6721
2025-02-11 13:07:35.846,151.108,69485,1434.5,575.6721
2025-02-11 13:07:35.847,151.109,69599,1435.51,575.6721
2025-02-11 13:07:35.954,151.216,69599,1435.51,575.6721
