Timestamp,Relative_Time,FT_F01_Hz
2025-07-05 13:23:07.249,210.004,0
2025-07-05 13:23:07.249,210.004,0
2025-07-05 13:23:07.296,210.052,0
2025-07-05 13:23:07.297,210.053,0
2025-07-05 13:23:07.297,210.053,0
2025-07-05 13:23:07.297,210.053,0
2025-07-05 13:23:07.297,210.053,0
2025-07-05 13:23:07.297,210.053,0
2025-07-05 13:23:07.298,210.054,628.5355
2025-07-05 13:23:07.298,210.054,628.5355
2025-07-05 13:23:07.344,210.099,628.5355
2025-07-05 13:23:07.344,210.099,628.5355
2025-07-05 13:23:07.344,210.099,628.5355
2025-07-05 13:23:07.344,210.099,628.5355
2025-07-05 13:23:07.344,210.099,628.5355
2025-07-05 13:23:07.344,210.099,628.5355
2025-07-05 13:23:07.345,210.101,628.5355
2025-07-05 13:23:07.345,210.101,628.5355
2025-07-05 13:23:07.345,210.101,628.5355
2025-07-05 13:23:07.391,210.146,628.5355
2025-07-05 13:23:07.391,210.146,628.5355
2025-07-05 13:23:07.391,210.146,628.5355
2025-07-05 13:23:07.438,210.194,628.5355
2025-07-05 13:23:07.438,210.194,628.5355
2025-07-05 13:23:07.485,210.241,628.5355
2025-07-05 13:23:07.485,210.241,628.5355
2025-07-05 13:23:07.485,210.241,628.5355
2025-07-05 13:23:07.485,210.241,628.5355
2025-07-05 13:23:07.486,210.242,628.5355
2025-07-05 13:23:07.486,210.242,628.5355
2025-07-05 13:23:07.486,210.242,628.5355
2025-07-05 13:23:07.486,210.242,628.5355
2025-07-05 13:23:07.486,210.242,628.5355
2025-07-05 13:23:07.486,210.242,628.5355
2025-07-05 13:23:07.533,210.288,628.5355
2025-07-05 13:23:07.534,210.29,628.5355
2025-07-05 13:23:07.534,210.29,628.5355
2025-07-05 13:23:07.534,210.29,628.5355
2025-07-05 13:23:07.534,210.29,628.5355
2025-07-05 13:23:07.534,210.29,628.5355
2025-07-05 13:23:07.534,210.29,628.5355
2025-07-05 13:23:07.534,210.29,628.5355
2025-07-05 13:23:07.579,210.335,628.5355
2025-07-05 13:23:07.579,210.335,628.5355
2025-07-05 13:23:07.579,210.335,628.5355
2025-07-05 13:23:07.626,210.382,628.5355
2025-07-05 13:23:07.626,210.382,628.5355
