datetime,weight_kg
2025-07-05 13:23:05,34.48
2025-07-05 13:23:05,34.48
2025-07-05 13:23:05,34.48
2025-07-05 13:23:05,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:06,34.48
2025-07-05 13:23:07,34.48
2025-07-05 13:23:07,34.48
2025-07-05 13:23:07,34.48
2025-07-05 13:23:07,34.48
2025-07-05 13:23:07,34.48
2025-07-05 13:23:07,34.48
2025-07-05 13:23:07,34.48
2025-07-05 13:23:07,35.1
2025-07-05 13:23:07,35.26
2025-07-05 13:23:08,35.34
2025-07-05 13:23:08,35.54
2025-07-05 13:23:08,35.64
2025-07-05 13:23:08,35.74
2025-07-05 13:23:08,35.92
2025-07-05 13:23:08,36
2025-07-05 13:23:08,36.08
2025-07-05 13:23:08,36.26
2025-07-05 13:23:08,36.36
2025-07-05 13:23:09,36.5
2025-07-05 13:23:09,36.6
2025-07-05 13:23:09,36.7
2025-07-05 13:23:09,36.86
2025-07-05 13:23:09,36.94
2025-07-05 13:23:09,37.02
2025-07-05 13:23:09,37.18
2025-07-05 13:23:09,37.28
2025-07-05 13:23:09,37.46
2025-07-05 13:23:10,37.52
2025-07-05 13:23:10,37.62
2025-07-05 13:23:10,37.78
2025-07-05 13:23:10,37.86
2025-07-05 13:23:10,37.94
2025-07-05 13:23:10,38.1
2025-07-05 13:23:10,38.18
2025-07-05 13:23:10,38.34
2025-07-05 13:23:10,38.44
2025-07-05 13:23:10,38.52
2025-07-05 13:23:11,38.66
2025-07-05 13:23:11,38.74
2025-07-05 13:23:11,38.82
2025-07-05 13:23:11,39.02
2025-07-05 13:23:11,39.04
2025-07-05 13:23:11,39.14
2025-07-05 13:23:11,39.34
2025-07-05 13:23:11,39.42
2025-07-05 13:23:11,39.58
2025-07-05 13:23:12,39.68
2025-07-05 13:23:12,39.76
2025-07-05 13:23:12,39.9
2025-07-05 13:23:12,39.92
2025-07-05 13:23:12,39.98
2025-07-05 13:23:12,40.16
2025-07-05 13:23:12,40.18
2025-07-05 13:23:12,40.32
2025-07-05 13:23:12,40.34
2025-07-05 13:23:13,40.4
2025-07-05 13:23:13,40.42
