datetime,weight_kg
2025-07-05 13:03:17,0
2025-07-05 13:03:17,0
2025-07-05 13:03:17,0
2025-07-05 13:03:17,0
2025-07-05 13:03:17,0.28
2025-07-05 13:03:17,0.26
2025-07-05 13:03:17,0.24
2025-07-05 13:03:18,0.24
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:18,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:19,0.26
2025-07-05 13:03:20,0.26
2025-07-05 13:03:20,0.26
2025-07-05 13:03:20,0.28
2025-07-05 13:03:20,0.28
2025-07-05 13:03:20,0.28
2025-07-05 13:03:20,0.28
2025-07-05 13:03:20,0.28
2025-07-05 13:03:20,0.28
2025-07-05 13:03:20,0.28
2025-07-05 13:03:21,0.28
2025-07-05 13:03:21,0.28
2025-07-05 13:03:21,0.28
2025-07-05 13:03:21,0.28
2025-07-05 13:03:21,0.3
2025-07-05 13:03:21,0.3
2025-07-05 13:03:21,0.32
2025-07-05 13:03:21,0.32
2025-07-05 13:03:21,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:22,0.32
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:23,0.34
2025-07-05 13:03:24,0.34
2025-07-05 13:03:24,0.36
2025-07-05 13:03:24,0.36
2025-07-05 13:03:24,0.36
2025-07-05 13:03:24,0.36
2025-07-05 13:03:24,0.36
2025-07-05 13:03:24,0.36
2025-07-05 13:03:24,0.36
2025-07-05 13:03:24,0.36
2025-07-05 13:03:25,0.36
2025-07-05 13:03:25,0.36
2025-07-05 13:03:25,0.38
2025-07-05 13:03:25,0.38
2025-07-05 13:03:25,0.4
2025-07-05 13:03:25,0.4
2025-07-05 13:03:25,0.4
2025-07-05 13:03:25,0.4
2025-07-05 13:03:25,0.4
2025-07-05 13:03:26,0.4
2025-07-05 13:03:26,0.4
2025-07-05 13:03:26,0.4
2025-07-05 13:03:26,0.4
2025-07-05 13:03:26,0.4
2025-07-05 13:03:26,0.42
2025-07-05 13:03:26,0.42
2025-07-05 13:03:26,0.42
2025-07-05 13:03:26,0.42
2025-07-05 13:03:26,0.42
2025-07-05 13:03:27,0.42
2025-07-05 13:03:27,0.42
2025-07-05 13:03:27,0.42
2025-07-05 13:03:27,0.42
2025-07-05 13:03:27,0.42
2025-07-05 13:03:27,0.42
2025-07-05 13:03:27,0.44
2025-07-05 13:03:27,0.44
2025-07-05 13:03:27,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.44
2025-07-05 13:03:28,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:29,0.46
2025-07-05 13:03:30,0.46
2025-07-05 13:03:30,0.46
2025-07-05 13:03:30,0.48
2025-07-05 13:03:30,0.48
