Timestamp,Relative_Time,reference_M_Pa,HPL1_cr_01,HPL3_cr_03,HPL4_cr_04
2025-06-30 09:15:21.329,219.578,0,-182159,-72291,8198
2025-06-30 09:15:21.330,219.579,0,-182159,-72291,8198
2025-06-30 09:15:21.330,219.579,0,-182159,-72291,8198
2025-06-30 09:15:21.330,219.579,0,-182159,-72291,8198
2025-06-30 09:15:21.330,219.579,0,-182159,-72292,8198
2025-06-30 09:15:21.330,219.579,0,-182159,-72292,8254
2025-06-30 09:15:21.330,219.579,0,-182031,-72292,8254
2025-06-30 09:15:21.375,219.624,0,-182031,-72292,8254
2025-06-30 09:15:21.375,219.624,0,-182031,-72292,8254
2025-06-30 09:15:21.375,219.624,0,-182031,-72292,8254
2025-06-30 09:15:21.375,219.624,0,-182031,-72292,8254
2025-06-30 09:15:21.375,219.624,0,-182031,-72292,8254
2025-06-30 09:15:21.375,219.624,0,-182031,-72292,8254
2025-06-30 09:15:21.469,219.718,0,-182031,-72292,8254
2025-06-30 09:15:21.469,219.718,0,-182031,-72292,8254
2025-06-30 09:15:21.469,219.718,0,-182031,-72292,8254
2025-06-30 09:15:21.469,219.718,0,-182031,-72292,8254
2025-06-30 09:15:21.470,219.719,0,-182031,-72292,8254
2025-06-30 09:15:21.470,219.719,0,-182031,-72292,8254
2025-06-30 09:15:21.470,219.719,0,-182031,-72292,8254
2025-06-30 09:15:21.470,219.719,0,-182031,-72292,8254
2025-06-30 09:15:21.470,219.719,0,-182031,-72292,8254
2025-06-30 09:15:21.471,219.719,0,-182031,-72292,8254
2025-06-30 09:15:21.471,219.719,0,-182031,-72277,8254
2025-06-30 09:15:21.471,219.719,0,-182031,-72277,8285
2025-06-30 09:15:21.471,219.719,0,-182096,-72277,8285
2025-06-30 09:15:21.500,219.749,0,-182096,-72277,8285
2025-06-30 09:15:21.500,219.749,0,-182096,-72277,8285
2025-06-30 09:15:21.500,219.749,0,-182096,-72277,8285
2025-06-30 09:15:21.500,219.749,0,-182096,-72277,8285
2025-06-30 09:15:21.501,219.75,0,-182096,-72277,8285
2025-06-30 09:15:21.501,219.75,0,-182096,-72277,8285
2025-06-30 09:15:21.501,219.75,0,-182096,-72277,8285
2025-06-30 09:15:21.501,219.75,0,-182096,-72277,8285
2025-06-30 09:15:21.501,219.75,0,-182096,-72277,8285
2025-06-30 09:15:21.516,219.765,0,-182096,-72277,8285
2025-06-30 09:15:21.516,219.765,0,-182096,-72277,8285
2025-06-30 09:15:21.516,219.765,0,-182096,-72277,8285
2025-06-30 09:15:21.516,219.765,0,-182096,-72277,8285
2025-06-30 09:15:21.517,219.766,0,-182096,-72277,8285
2025-06-30 09:15:21.564,219.813,0,-182096,-72277,8285
2025-06-30 09:15:21.564,219.813,0,-182096,-72277,8285
2025-06-30 09:15:21.564,219.813,0,-182096,-72277,8285
2025-06-30 09:15:21.611,219.86,0,-182096,-72205,8285
2025-06-30 09:15:21.611,219.86,0,-182096,-72205,8461
2025-06-30 09:15:21.657,219.906,0,-182096,-72205,8461
2025-06-30 09:15:21.657,219.906,0,-182096,-72205,8461
2025-06-30 09:15:21.657,219.906,0,-182096,-72205,8461
2025-06-30 09:15:21.658,219.907,0,-182096,-72205,8461
2025-06-30 09:15:21.658,219.907,0,-182096,-72205,8461
2025-06-30 09:15:21.658,219.907,0,-182096,-72205,8461
2025-06-30 09:15:21.658,219.907,0,-182096,-72205,8461
2025-06-30 09:15:21.658,219.907,0,-182096,-72205,8461
2025-06-30 09:15:21.659,219.908,0,-182096,-72205,8461
2025-06-30 09:15:21.659,219.908,0,-181963,-72205,8461
2025-06-30 09:15:21.688,219.936,0,-181963,-72205,8461
2025-06-30 09:15:21.688,219.936,0,-181963,-72205,8461
2025-06-30 09:15:21.688,219.936,0,-181963,-72205,8461
2025-06-30 09:15:21.688,219.936,0,-181963,-72205,8461
2025-06-30 09:15:21.688,219.936,0,-181963,-72205,8461
2025-06-30 09:15:21.688,219.936,0,-181963,-72205,8461
2025-06-30 09:15:21.688,219.936,0,-181963,-72205,8461
2025-06-30 09:15:21.689,219.937,0,-181963,-72205,8461
2025-06-30 09:15:21.689,219.937,0,-181963,-72205,8461
2025-06-30 09:15:21.689,219.937,0,-181963,-72205,8461
2025-06-30 09:15:21.689,219.937,0,-181963,-72205,8461
2025-06-30 09:15:21.689,219.937,0,-181963,-72242,8461
2025-06-30 09:15:21.750,219.999,0,-181963,-72242,8461
2025-06-30 09:15:21.750,219.999,0,-181963,-72242,8596
2025-06-30 09:15:21.750,219.999,0,-181937,-72242,8596
2025-06-30 09:15:21.795,220.044,0,-181937,-72242,8596
2025-06-30 09:15:21.796,220.045,0,-181937,-72242,8596
2025-06-30 09:15:21.796,220.045,0,-181937,-72242,8596
2025-06-30 09:15:21.796,220.045,0,-181937,-72242,8596
2025-06-30 09:15:21.796,220.045,0,-181937,-72242,8596
2025-06-30 09:15:21.796,220.045,0,-181937,-72242,8596
2025-06-30 09:15:21.843,220.092,0,-181937,-72242,8596
2025-06-30 09:15:21.843,220.092,0,-181937,-72242,8596
2025-06-30 09:15:21.844,220.093,0,-181937,-72242,8596
2025-06-30 09:15:21.844,220.093,0,-181937,-72242,8596
2025-06-30 09:15:21.844,220.093,0,-181937,-72242,8596
2025-06-30 09:15:21.844,220.093,0,-181937,-72242,8508
2025-06-30 09:15:21.844,220.093,0,-181985,-72242,8508
2025-06-30 09:15:21.844,220.093,0,-181985,-72204,8508
2025-06-30 09:15:21.889,220.138,0,-181985,-72204,8508
2025-06-30 09:15:21.889,220.138,0,-181985,-72204,8508
2025-06-30 09:15:21.889,220.138,0,-181985,-72204,8508
2025-06-30 09:15:21.890,220.139,0,-181985,-72204,8508
2025-06-30 09:15:21.890,220.139,0,-181985,-72204,8508
2025-06-30 09:15:21.890,220.139,0,-181985,-72204,8508
2025-06-30 09:15:21.890,220.139,0,-181985,-72204,8508
2025-06-30 09:15:21.890,220.139,0,-181985,-72204,8508
2025-06-30 09:15:21.890,220.139,0,-181985,-72204,8508
2025-06-30 09:15:21.936,220.185,0,-181985,-72204,8508
2025-06-30 09:15:21.936,220.185,0,-181985,-72204,8508
2025-06-30 09:15:21.936,220.185,0,-181985,-72204,8508
2025-06-30 09:15:21.936,220.185,0,-181985,-72204,8508
2025-06-30 09:15:21.936,220.185,0,-181985,-72204,8508
2025-06-30 09:15:21.936,220.185,0,-181985,-72204,8508
