Timestamp,Relative_Time,TYAGA_raw,Valve_KNOPKA_state
2025-01-16 20:50:58.842,19.657,-90780,1
2025-01-16 20:50:58.843,19.658,-90780,1
2025-01-16 20:50:58.843,19.658,-92156,1
2025-01-16 20:50:58.843,19.658,-92156,1
2025-01-16 20:50:58.952,19.767,-90983,1
2025-01-16 20:50:58.952,19.767,-91952,1
2025-01-16 20:50:59.061,19.876,-92243,1
2025-01-16 20:50:59.061,19.876,-92243,1
2025-01-16 20:50:59.062,19.877,-91331,1
2025-01-16 20:50:59.167,19.982,-90450,1
2025-01-16 20:50:59.167,19.982,-90938,1
2025-01-16 20:50:59.276,20.091,-92009,1
2025-01-16 20:50:59.277,20.092,-90913,1
2025-01-16 20:50:59.378,20.192,-91926,1
2025-01-16 20:50:59.478,20.293,-92330,1
2025-01-16 20:50:59.478,20.293,-91712,1
2025-01-16 20:50:59.582,20.397,-92315,1
2025-01-16 20:50:59.691,20.506,-91600,1
2025-01-16 20:50:59.691,20.506,-90587,1
2025-01-16 20:50:59.801,20.616,-91617,1
2025-01-16 20:50:59.801,20.616,-90509,1
2025-01-16 20:50:59.908,20.723,-90624,1
2025-01-16 20:50:59.908,20.723,-91933,1
2025-01-16 20:51:00.016,20.831,-92147,1
2025-01-16 20:51:00.119,20.934,-92147,1
2025-01-16 20:51:00.119,20.934,-91812,1
2025-01-16 20:51:00.222,21.037,-91812,1
2025-01-16 20:51:00.222,21.037,-92463,1
2025-01-16 20:51:00.324,21.139,-91503,1
2025-01-16 20:51:00.430,21.245,-90657,1
2025-01-16 20:51:00.534,21.349,-90627,1
2025-01-16 20:51:00.645,21.46,-90513,1
2025-01-16 20:51:00.755,21.57,-90653,1
2025-01-16 20:51:00.862,21.677,-90491,1
2025-01-16 20:51:00.964,21.779,-92321,1
2025-01-16 20:51:01.067,21.882,-91644,1
2025-01-16 20:51:01.173,21.988,-92510,1
2025-01-16 20:51:01.281,22.096,-92510,1
2025-01-16 20:51:01.390,22.205,-91729,1
2025-01-16 20:51:01.390,22.205,-90802,1
2025-01-16 20:51:01.499,22.314,-92050,1
2025-01-16 20:51:01.600,22.415,-90713,1
2025-01-16 20:51:01.700,22.515,-90682,1
2025-01-16 20:51:01.809,22.624,-91397,1
2025-01-16 20:51:01.916,22.731,-92261,1
2025-01-16 20:51:02.019,22.834,-91355,1
2025-01-16 20:51:02.131,22.946,-92268,1
2025-01-16 20:51:02.240,23.055,-91778,1
2025-01-16 20:51:02.350,23.165,-91778,1
2025-01-16 20:51:02.351,23.166,-92333,1
2025-01-16 20:51:02.460,23.275,-92333,1
2025-01-16 20:51:02.461,23.276,-90566,1
2025-01-16 20:51:02.569,23.383,-90786,1
2025-01-16 20:51:02.677,23.492,-90314,1
2025-01-16 20:51:02.784,23.599,-90912,1
2025-01-16 20:51:02.893,23.708,-90492,1
2025-01-16 20:51:03.003,23.818,-91382,1
2025-01-16 20:51:03.112,23.927,-92179,1
2025-01-16 20:51:03.223,24.037,-91913,1
2025-01-16 20:51:03.330,24.145,-92153,1
2025-01-16 20:51:03.438,24.253,-91866,1
2025-01-16 20:51:03.547,24.362,-91866,1
2025-01-16 20:51:03.548,24.363,-90945,1
2025-01-16 20:51:03.655,24.469,-90436,1
2025-01-16 20:51:03.765,24.58,-91336,1
2025-01-16 20:51:03.873,24.688,-92169,1
2025-01-16 20:51:03.980,24.795,-91186,1
2025-01-16 20:51:04.089,24.903,-92170,1
2025-01-16 20:51:04.198,25.013,-91999,1
2025-01-16 20:51:04.306,25.121,-92299,1
2025-01-16 20:51:04.413,25.228,-90468,1
2025-01-16 20:51:04.523,25.337,-91163,1
2025-01-16 20:51:04.523,25.337,-91163,1
2025-01-16 20:51:04.629,25.444,-90465,1
2025-01-16 20:51:04.629,25.444,-90465,1
2025-01-16 20:51:04.740,25.554,-91122,1
2025-01-16 20:51:04.848,25.663,-90466,1
2025-01-16 20:51:04.958,25.772,-91016,1
2025-01-16 20:51:05.066,25.881,-92000,1
2025-01-16 20:51:05.173,25.988,-92248,1
2025-01-16 20:51:05.281,26.096,-91940,1
2025-01-16 20:51:05.391,26.206,-92164,1
2025-01-16 20:51:05.500,26.315,-91255,1
2025-01-16 20:51:05.609,26.424,-90536,1
2025-01-16 20:51:05.719,26.534,-91017,1
2025-01-16 20:51:05.719,26.534,-91017,1
2025-01-16 20:51:05.827,26.641,-90529,1
2025-01-16 20:51:05.935,26.75,-90874,1
2025-01-16 20:51:06.044,26.859,-90426,1
2025-01-16 20:51:06.153,26.968,-92139,1
2025-01-16 20:51:06.260,27.075,-91791,1
2025-01-16 20:51:06.371,27.186,-92205,1
2025-01-16 20:51:06.480,27.295,-91306,1
2025-01-16 20:51:06.588,27.403,-90520,1
2025-01-16 20:51:06.698,27.513,-91490,1
2025-01-16 20:51:06.698,27.513,-90497,1
2025-01-16 20:51:06.799,27.614,-90497,1
2025-01-16 20:51:06.914,27.729,-90784,1
2025-01-16 20:51:06.915,27.73,-90784,1
2025-01-16 20:51:07.024,27.839,-91985,1
2025-01-16 20:51:07.024,27.839,-92318,1
2025-01-16 20:51:07.131,27.945,-91872,1
2025-01-16 20:51:07.240,28.055,-92182,1
2025-01-16 20:51:07.351,28.166,-91584,1
2025-01-16 20:51:07.458,28.273,-92203,1
2025-01-16 20:51:07.567,28.382,-90720,1
2025-01-16 20:51:07.676,28.491,-90642,1
2025-01-16 20:51:07.783,28.598,-90505,1
2025-01-16 20:51:07.892,28.706,-90674,1
2025-01-16 20:51:08.000,28.815,-90674,1
2025-01-16 20:51:08.001,28.816,-90622,1
2025-01-16 20:51:08.109,28.924,-91768,1
2025-01-16 20:51:08.212,29.027,-92257,1
2025-01-16 20:51:08.323,29.138,-91597,1
2025-01-16 20:51:08.430,29.245,-92302,1
2025-01-16 20:51:08.539,29.353,-91810,1
2025-01-16 20:51:08.647,29.462,-90788,1
2025-01-16 20:51:08.755,29.57,-90652,1
2025-01-16 20:51:08.866,29.681,-91493,1
2025-01-16 20:51:08.973,29.788,-92391,1
2025-01-16 20:51:09.083,29.898,-92391,1
2025-01-16 20:51:09.084,29.899,-91536,1
2025-01-16 20:51:09.189,30.004,-91536,1
2025-01-16 20:51:09.189,30.004,-92267,1
2025-01-16 20:51:09.299,30.114,-91639,1
2025-01-16 20:51:09.407,30.222,-92221,1
2025-01-16 20:51:09.515,30.33,-90488,1
2025-01-16 20:51:09.624,30.439,-90775,1
2025-01-16 20:51:09.731,30.546,-90482,1
2025-01-16 20:51:09.840,30.655,-90703,1
2025-01-16 20:51:09.950,30.765,-90492,1
2025-01-16 20:51:10.058,30.873,-91470,1
2025-01-16 20:51:10.166,30.981,-92218,1
2025-01-16 20:51:10.167,30.982,-92218,1
2025-01-16 20:51:10.275,31.09,-91916,1
2025-01-16 20:51:10.383,31.198,-92466,1
2025-01-16 20:51:10.492,31.307,-92069,1
2025-01-16 20:51:10.602,31.417,-90817,1
2025-01-16 20:51:10.711,31.526,-90415,1
2025-01-16 20:51:10.820,31.635,-91349,1
2025-01-16 20:51:10.926,31.74,-90439,1
2025-01-16 20:51:11.033,31.848,-91304,1
2025-01-16 20:51:11.142,31.957,-90418,1
2025-01-16 20:51:11.250,32.065,-92076,1
2025-01-16 20:51:11.250,32.065,-92076,1
2025-01-16 20:51:11.358,32.173,-92143,1
2025-01-16 20:51:11.358,32.173,-92143,1
2025-01-16 20:51:11.466,32.281,-92156,1
2025-01-16 20:51:11.575,32.39,-90973,1
2025-01-16 20:51:11.683,32.498,-90356,1
2025-01-16 20:51:11.792,32.607,-91060,1
2025-01-16 20:51:11.900,32.715,-90279,1
2025-01-16 20:51:12.008,32.823,-91290,1
2025-01-16 20:51:12.116,32.931,-92187,1
2025-01-16 20:51:12.226,33.041,-92076,1
2025-01-16 20:51:12.335,33.15,-92259,1
2025-01-16 20:51:12.444,33.259,-92133,1
2025-01-16 20:51:12.445,33.26,-92133,1
2025-01-16 20:51:12.555,33.37,-91021,1
2025-01-16 20:51:12.556,33.371,-92300,1
2025-01-16 20:51:12.663,33.478,-91129,1
2025-01-16 20:51:12.771,33.586,-90546,1
2025-01-16 20:51:12.879,33.693,-91012,1
2025-01-16 20:51:12.988,33.803,-90398,1
2025-01-16 20:51:13.096,33.911,-91000,1
2025-01-16 20:51:13.205,34.02,-91992,1
2025-01-16 20:51:13.314,34.129,-92141,1
2025-01-16 20:51:13.424,34.238,-91198,1
2025-01-16 20:51:13.531,34.346,-91198,1
2025-01-16 20:51:13.532,34.347,-92247,1
2025-01-16 20:51:13.639,34.454,-92247,1
2025-01-16 20:51:13.750,34.565,-91281,1
2025-01-16 20:51:13.751,34.566,-90491,1
2025-01-16 20:51:13.858,34.672,-91061,1
2025-01-16 20:51:13.964,34.779,-91989,1
2025-01-16 20:51:14.072,34.887,-92038,1
2025-01-16 20:51:14.181,34.996,-91923,1
2025-01-16 20:51:14.290,35.105,-92196,1
2025-01-16 20:51:14.398,35.213,-91236,1
2025-01-16 20:51:14.508,35.323,-92403,1
2025-01-16 20:51:14.617,35.432,-90943,1
2025-01-16 20:51:14.725,35.539,-90943,1
2025-01-16 20:51:14.725,35.539,-90478,1
2025-01-16 20:51:14.833,35.648,-90811,1
2025-01-16 20:51:14.941,35.756,-90575,1
2025-01-16 20:51:15.052,35.867,-90821,1
2025-01-16 20:51:15.160,35.974,-91877,1
2025-01-16 20:51:15.268,36.083,-92379,1
2025-01-16 20:51:15.377,36.192,-91337,1
2025-01-16 20:51:15.486,36.301,-92340,1
2025-01-16 20:51:15.594,36.409,-91368,1
2025-01-16 20:51:15.703,36.517,-90559,1
2025-01-16 20:51:15.703,36.517,-90559,1
2025-01-16 20:51:15.812,36.627,-90792,1
2025-01-16 20:51:15.813,36.628,-90792,1
2025-01-16 20:51:15.920,36.735,-91817,1
2025-01-16 20:51:16.029,36.844,-90717,1
2025-01-16 20:51:16.138,36.953,-91792,1
2025-01-16 20:51:16.245,37.059,-90623,1
2025-01-16 20:51:16.353,37.168,-91519,1
2025-01-16 20:51:16.463,37.278,-92260,1
2025-01-16 20:51:16.572,37.386,-91668,1
2025-01-16 20:51:16.672,37.487,-90471,1
2025-01-16 20:51:16.788,37.603,-90776,1
2025-01-16 20:51:16.896,37.711,-90632,1
2025-01-16 20:51:17.002,37.817,-90632,1
2025-01-16 20:51:17.002,37.817,-90613,1
2025-01-16 20:51:17.104,37.919,-91671,1
2025-01-16 20:51:17.205,38.02,-92505,1
2025-01-16 20:51:17.313,38.127,-91488,1
2025-01-16 20:51:17.421,38.236,-92320,1
2025-01-16 20:51:17.529,38.344,-91750,1
2025-01-16 20:51:17.638,38.453,-90494,1
2025-01-16 20:51:17.744,38.558,-90603,1
2025-01-16 20:51:17.855,38.67,-91740,1
2025-01-16 20:51:17.963,38.778,-90611,1
2025-01-16 20:51:17.965,38.779,-90611,1
2025-01-16 20:51:18.071,38.886,-91750,1
2025-01-16 20:51:18.071,38.886,-91750,1
2025-01-16 20:51:18.179,38.994,-90514,1
2025-01-16 20:51:18.282,39.097,-5721,1
2025-01-16 20:51:18.385,39.2,-92286,1
2025-01-16 20:51:18.489,39.304,-91660,1
2025-01-16 20:51:18.592,39.407,-90665,1
2025-01-16 20:51:18.694,39.509,-91718,1
2025-01-16 20:51:18.804,39.619,-90714,1
2025-01-16 20:51:18.905,39.719,-90456,1
2025-01-16 20:51:19.006,39.821,-91404,1
2025-01-16 20:51:19.115,39.93,-92241,1
2025-01-16 20:51:19.115,39.93,-92241,1
2025-01-16 20:51:19.223,40.038,-91612,1
2025-01-16 20:51:19.332,40.147,-92185,1
2025-01-16 20:51:19.440,40.254,-91751,1
2025-01-16 20:51:19.548,40.363,-92080,1
2025-01-16 20:51:19.659,40.474,-91773,1
2025-01-16 20:51:19.766,40.581,-90711,1
2025-01-16 20:51:19.874,40.689,-91925,1
2025-01-16 20:51:19.983,40.798,-91307,1
2025-01-16 20:51:20.092,40.907,-90392,1
2025-01-16 20:51:20.200,41.015,-91386,1
2025-01-16 20:51:20.201,41.016,-91386,1
2025-01-16 20:51:20.308,41.123,-92227,1
2025-01-16 20:51:20.309,41.124,-92227,1
2025-01-16 20:51:20.418,41.233,-91917,1
2025-01-16 20:51:20.527,41.342,-90818,1
2025-01-16 20:51:20.635,41.45,-91985,1
2025-01-16 20:51:20.744,41.559,-90733,1
