Timestamp,Relative_Time,PT-L01_2_1_V,PT-M02_2_2_V,PT-M01_2_3_V,reference_M_Pa
2025-06-30 08:35:08.840,1779.973,0.870125,2.33375,0.85675,0
2025-06-30 08:35:08.840,1779.973,0.870125,2.33375,0.85675,0
2025-06-30 08:35:08.840,1779.973,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.840,1779.973,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.841,1779.974,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.841,1779.974,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.841,1779.974,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.841,1779.974,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.901,1780.034,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.901,1780.034,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.901,1780.034,0.870125,2.33375,0.8593751,0
2025-06-30 08:35:08.901,1780.034,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.901,1780.034,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.948,1780.081,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.948,1780.081,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.993,1780.126,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.993,1780.126,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.993,1780.126,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.994,1780.127,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.994,1780.127,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.994,1780.127,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.994,1780.127,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.994,1780.127,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:08.994,1780.127,0.8712501,2.33375,0.8593751,0
2025-06-30 08:35:09.039,1780.173,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.039,1780.173,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.039,1780.173,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.039,1780.173,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.039,1780.173,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.040,1780.174,0.8712501,2.334,0.8593751,0
2025-06-30 08:35:09.040,1780.174,0.8712501,2.334,0.8593751,0
